generation,trial_id,accuracy,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
3,59,0.8525,0.00019377012672164046,0.06,16,16,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,60,0.8615,0.00011605142223413065,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,61,0.897,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,62,0.7025,4.1777215788293935e-05,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,63,0.858,0.00012648538568880145,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,64,0.848,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,65,0.896,0.0002,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,66,0.852,0.0001045378028009504,0.1,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,67,0.8895,0.0002,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,68,0.8055,7.996317771442595e-05,0.06,8,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,69,0.8865,0.00019371078305793678,0.06,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,70,0.8535,0.00011605142223413065,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,71,0.8495,0.00011192696601878047,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,72,0.8535,0.00011072605658743677,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,73,0.873,0.00013687152332293468,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,74,0.8665,0.0001318069510524988,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,75,0.8435,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,76,0.8585,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,77,0.8605,0.00011013807161247009,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,78,0.8885,0.0002,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,79,0.853,0.00011605142223413065,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,80,0.888,0.0001961551163923692,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,81,0.891,0.00018832501471299255,0.06,16,96,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,82,0.8925,0.00019543990527663683,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,83,0.892,0.00019871642870167132,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,84,0.8885,0.00019298312647975108,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,85,0.88,0.00016949901860843742,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,86,0.884,0.00019471323488943796,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,87,0.8435,0.00011092748944070599,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,88,0.8565,0.00013156286324039163,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,89,0.8935,0.00019758528880998918,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,90,0.88,0.0002,0.06,24,32,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,91,0.854,0.00011719297385976063,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,92,0.866,0.00012578664391942501,0.06,16,64,0.1,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,93,0.8785,0.00015583972478597176,0.06,16,64,0.05,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,94,0.8725,0.0001368660904252681,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,95,0.8275,0.0002,0.06,8,64,0.0,"['q_lin', 'v_lin']"
5,96,0.886,0.00019771357859123945,0.06,16,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,97,0.883,0.0002,0.06,16,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,98,0.889,0.00019686531422344618,0.06,24,64,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,99,0.86,0.00011162810626396086,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,100,0.859,0.0001322471084285321,0.06,8,64,0.0,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
