generation,trial_id,accuracy,learning_rate,warmup_ratio,rank,alpha,dropout,target_modules
2,29,0.7985,0.000305735,0,2,8,0,"['q_lin', 'v_lin']"
2,30,0.7555,0.000178824,0,2,8,0,"['q_lin', 'v_lin']"
2,31,0.796,0.000293853,0,2,8,0,"['q_lin', 'v_lin']"
2,32,0.7995,0.000307986,0,2,8,0,"['q_lin', 'v_lin']"
2,33,0.797,0.000292086,0,2,8,0,"['q_lin', 'v_lin']"
2,34,0.796,0.000305735,0,2,8,0,"['q_lin', 'v_lin']"
2,35,0.8015,0.000305735,0,2,8,0,"['q_lin', 'v_lin']"
2,36,0.8,0.000307263,0,2,8,0,"['q_lin', 'v_lin']"
2,37,0.782,0.00025137,0,2,8,0,"['q_lin', 'v_lin']"
2,38,0.796,0.000305735,0,2,8,0,"['q_lin', 'v_lin']"
2,39,0.7655,0.000182381,0,2,16,0,"['q_lin', 'v_lin']"
2,40,0.798,0.00030559,0,2,8,0,"['q_lin', 'v_lin']"
3,41,0.9055,0.000305735,0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
3,42,0.7885,0.000305812,0,2,8,0,"['q_lin', 'v_lin']"
3,43,0.8045,0.000307907,0,2,8,0,"['q_lin', 'v_lin']"
3,44,0.7985,0.000302713,0,2,8,0.05,"['q_lin', 'v_lin']"
3,45,0.811,0.000330641,0,2,8,0,"['q_lin', 'v_lin']"
3,46,0.8365,0.000484569,0,2,8,0,"['q_lin', 'v_lin']"
3,47,0.8295,0.000445109,0,2,8,0,"['q_lin', 'v_lin']"
3,48,0.821,0.000378392,0,2,8,0,"['q_lin', 'v_lin']"
3,49,0.7985,0.000306783,0,2,8,0,"['q_lin', 'v_lin']"
3,50,0.7995,0.000307021,0,2,8,0,"['q_lin', 'v_lin']"
3,51,0.796,0.000305673,0,2,8,0,"['q_lin', 'v_lin']"
3,52,0.7835,0.000231193,0,2,8,0,"['q_lin', 'v_lin']"
3,53,0.7875,0.000267333,0,2,8,0,"['q_lin', 'v_lin']"
3,54,0.8075,0.000309301,0,2,8,0,"['q_lin', 'v_lin']"
3,55,0.8,0.000307263,0,2,8,0,"['q_lin', 'v_lin']"
3,56,0.8055,0.000333571,0,2,8,0,"['q_lin', 'v_lin']"
3,57,0.7835,0.000232696,0,2,8,0,"['q_lin', 'v_lin']"
3,58,0.7965,0.000307026,0,2,8,0,"['q_lin', 'v_lin']"
3,59,0.783,0.000255834,0,2,8,0,"['q_lin', 'v_lin']"
3,60,0.81,0.000306146,0,2,8,0,"['q_lin', 'v_lin']"
4,61,0.903,0.000305735,0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
4,62,0.8245,0.000425598,0,2,8,0,"['q_lin', 'v_lin']"
4,63,0.8325,0.000480479,0,2,8,0,"['q_lin', 'v_lin']"
4,64,0.7925,0.000305757,0,2,8,0,"['q_lin', 'v_lin']"
4,65,0.805,0.000328322,0,2,8,0,"['q_lin', 'v_lin']"
4,66,0.8055,0.000306146,0,2,8,0,"['q_lin', 'v_lin']"
4,67,0.7955,0.000306397,0,2,8,0,"['q_lin', 'v_lin']"
4,68,0.824,0.000408253,0,2,8,0,"['q_lin', 'v_lin']"
4,69,0.8335,0.0005,0,2,8,0,"['q_lin', 'v_lin']"
4,70,0.798,0.000283021,0,2,8,0,"['q_lin', 'v_lin']"
4,71,0.791,0.000335923,0,2,8,0,"['q_lin', 'v_lin']"
4,72,0.8005,0.000306462,0,2,8,0,"['q_lin', 'v_lin']"
4,73,0.798,0.000307021,0,2,8,0,"['q_lin', 'v_lin']"
4,74,0.825,0.000434815,0,2,8,0,"['q_lin', 'v_lin']"
4,75,0.8335,0.000484569,0,2,8,0,"['q_lin', 'v_lin']"
4,76,0.807,0.000306977,0,2,8,0,"['q_lin', 'v_lin']"
4,77,0.793,0.000287475,0,2,8,0,"['q_lin', 'v_lin']"
4,78,0.8245,0.000352955,0,2,8,0,"['q_lin', 'v_lin']"
4,79,0.818,0.000360711,0,2,8,0,"['q_lin', 'v_lin']"
4,80,0.8255,0.000401598,0,2,8,0,"['q_lin', 'v_lin']"
5,81,0.903,0.000305735,0,4,96,0.2,"['q_lin', 'v_lin', 'ffn.lin1', 'ffn.lin2']"
5,82,0.8065,0.000343907,0,2,8,0,"['q_lin', 'v_lin']"
5,83,0.811,0.000356084,0,4,8,0,"['q_lin', 'v_lin']"
5,84,0.823,0.000345443,0,2,8,0.05,"['q_lin', 'v_lin']"
5,85,0.8175,0.000351919,0,4,8,0,"['q_lin', 'v_lin']"
5,86,0.7845,0.0002685,0,2,8,0,"['q_lin', 'v_lin']"
5,87,0.8185,0.000379932,0,2,8,0,"['q_lin', 'v_lin']"
5,88,0.8345,0.000479975,0,2,8,0,"['q_lin', 'v_lin']"
5,89,0.797,0.000288172,0,2,8,0,"['q_lin', 'v_lin']"
5,90,0.771,0.000229066,0,2,8,0,"['q_lin', 'v_lin']"
5,91,0.8045,0.000330792,0,2,8,0,"['q_lin', 'v_lin']"
5,92,0.8135,0.000386743,0,2,8,0,"['q_lin', 'v_lin']"
5,93,0.8485,0.0005,0,2,8,0,"['q_lin', 'v_lin']"
5,94,0.8015,0.000323526,0,2,8,0,"['q_lin', 'v_lin']"
5,95,0.8175,0.000378035,0,2,8,0,"['q_lin', 'v_lin']"
5,96,0.796,0.000285711,0,2,8,0,"['q_lin', 'v_lin']"
5,97,0.839,0.0005,0,2,8,0,"['q_lin', 'v_lin']"
5,98,0.8355,0.0005,0,2,8,0,"['q_lin', 'v_lin']"
5,99,0.7975,0.000311948,0,2,8,0,"['q_lin', 'v_lin']"
5,100,0.823,0.0005,0,2,8,0,"['q_lin', 'v_lin']"
